url,telephone,validate
https://kbcapital.co.th/,0971351305,False
https://www.beautyplus-fibroin.com/,021369298,False
https://www.ngernheng.com/,022486888,True
https://www.ngernyindee.co.th/,022795596,True
https://ngernsodjaidee.com/,025414642,True
http://www.t-heritagehotel.com,053282686,False
https://www.thefountainwellnesscenter.com/th/home,022569833,False
http://th.shengxianthailand.com/,037629571,False
https://www.lordnelsonthailand.com/,033650945,False
https://flybird.co.th/,021150277,False
https://nextmoney.co.th/,023429666,True
https://netdesign.ac.th/,0802093454,True
https://nestopa.com/,0645407000,False
https://www.bennic.com.tw/th/profile.asp,037267261,False
https://www.medparkhospital.com/contact-us,020233333,True
www.a2ztravelthai.com,0882092448,False
https://www.amtcapital.co.th/,028215414,True
https://nlargeproperty.com/,0806119222 ,True
https://www.awotglobal.com/,0217176925,False
https://www.aerzenrentalth.com/,0983232626,False
www.canneticz.com,0877989544,False
https://canbis.co.th/,0819206076,True
https://www.calmix.com/,036674017,False
https://samehotelbkk.com/contact/,021012623,False
https://www.naturaharvest.com,0819144766,False
http://bratbox.lnwshop.com/,0929868999,True
https://fraction.co/th/contact.html,020786787,False
www.lairdupran.com,032900480,True
https://saengroong.com/,0245947117,False
https://www.tooktee.com/,022953905,False
https://akvavitjomtien.com/,038233672,False
http://anglo-dutch.co.th/,0228548379,False
www.anfield 999.com,055481827,False
https://assetprogroup.co/,0938302222,True
https://www.golden-tech.co.th/,021650604,False
https://globeneng.com/,024125713,False
https://www.gthandcraft.com/,021270077,True
https://montevistakhaoyai.com/,025124640,False
http://www.cycambike.com/contact.php,023313169,True
https://www.scli.co.th/about,0646298791,False
https://www.dcccallab.com/,0387898015Â ,False
https://www.tcmi-th.com/,0330028812,False
https://sturgeon.co.th/contacts/,0832926757,False
https://www.iiv.co.th/th/,022483745,True
https://highkick.co.th/,0626186789,False
https://krajaiboon.com/,0633510011,True
https://graziosath.com/,0644678844,False
https://kriscollection.com/,0848770812,False
https://gumpunmuaythai.club/,0959205797,False
www.gvmp.co.th/,0627896594,False
https://news.confidia.co.th/,021070566,True
http://www.constancypattaya.com/,0659780234,False
https://contentthailand.com/,0870000795,False
https://www.kaigohouse.co.th/th,021070918,False
https://kiztopia.co.th/,0639159634,False
www.justgoodtime.co,0815425965,False
www.jinnansteelthailand.com,020012639,True
www.zaviago.com,0648236459,False
https://www.salotechthailand.com/th,0330148613,False
https://www.senerawellness.com/,021207437,True
https://superxtoken.com/,02366925069,False
https://drchenhospital.com/,021031723,False
https://cqk-group.com/,0977507777,False
www.stwbiomass.co.th,0855455888,False
https://www.tyholiday.com/,0636969191,True
https://www.tnrbioscience.com/,038342555,False
www.tcp.com,024150100,True
https://ttchampion.co.th/th-Contactus/th.html,038219045,True
https://www.nakorncapital.co.th,0611788122,False
https://ttmic.co.th/,0944299624,True
https://stt.in.th/,0233817123,False
www.ngesth.com,021148163,True
https://browneandco.com/,026793277,False
https://capitalsure-amc.com/,0955452556,True
https://www.bodytune.co.th/,020277887,False
https://bontilife.com/,021252761,False
https://baanchan.co.th/home-onepage-light/,0997896362,True
www.beaut-app.com,023671111,False
https://www.begreenbio.co.th/,020786171,False
https://www.papopsolar.com/th#sec8aik,025705580,False
www.gtech.ac.th/,043313234,True
https://panpanworld.co.th/,020966388,False
https://tnp.co.th/,026188999,True
www.bluebedpattaya.com,0924050404,False
https://pk-innofoods.com/,021572018,False
https://psmakuake.com/,0643472619,False
https://www.sicworld.com,021085511,False
https://www.mungmeeaplus.com/,0650356999,True
http://www.mitron-ce.com/index.php,024310010,True
www.mespace-selfstorage.co.th,027104081,False
https://www.rene.co.th/,0612619959,False
www.rsgcc.co.th,077458449,False
www.recycledaythailand.com,02661660310,False
https://www.regalpreciousmetal.com/th,024204022,True
https://www.loxley.co.th/,023488000,False
https://longstayconsulting.co.th/,022586126,False
www.warnermusicthailand.com,021063900,False
https://www.vtinnovative.com/about-us,021026290,False
https://www.woodworkgroup.co.th/subsidiaries-th/,0755772603,False
www.spc-estate.com,0917879444,False
http://www.speditionsigma.com/contact.html,027904513,True
https://siammedibot.com/,028841185,False
https://www.siamseaplane.com/th,026664969,False
https://siamdl.co.th/contact-us,020169300,True
https://www.swe-trans.co.th/Home/Index,0261744812,False
http://www.anusornpower.com/,034414161,False
https://amatayawellness.com/,021099875,True
https://kongthong-group.com/,0240332703,False
https://imagetree.co.th/,024468133,True
https://www.iridescentmed.com/th/,0836888888,False
www.eazydigital.io/th,0938189098,False
http://www.aunjai.co.th/index.php,042222418,False
https://udicakfarm.com/th,0815253564?,False
www.packkingdee.com,0822466296,True
https://goldenbeachboutique.com/,032601626,True
https://www.tangtekseng.com,0863928363,False
https://www.together-resort.com,032708888,False
https://breezehill-khaokho.com/premier-room/,056705929,True
